Year,Name,Institution,URI
1964,Patricia J. Watson,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CON05d66957-8510-4264-8a9d-6dff22df6ac1
1964,Keith Jones,"Royal Botanical Gardens, Kew",http://www.digitalhps.org/concepts/CON61bec15b-5bdc-4395-86ce-ec2d1cf72d49
1964,Christopher J. Marchant,"Royal Botanical Gardens, Kew",http://www.digitalhps.org/concepts/CONfd964f1a-9dfc-4eeb-8d4d-adb5f8340ff8
1964,Denis Ratcliffe,"Royal Botanical Garden, Edingburgh",http://www.digitalhps.org/concepts/CON7354c825-3808-4c73-bda3-113253607284
1964,James A. Ratter,"Royal Botanical Garden, Edingburgh",http://www.digitalhps.org/concepts/CON295ecb1a-c466-482a-a346-6bf5ca49f71b
1964,Thomas Owen Pritchard,Nature Conservancy,http://www.digitalhps.org/concepts/CON4a632438-b436-4490-9c57-5b8472098d1a
1964,Frederick J. W. England,National Institute of Agricultural Botany,http://www.digitalhps.org/concepts/CONb1558d9d-960b-4ba7-8463-a2b81dc68615
1964,Gwynfryn Ellis Marks,John Innes Institute,http://www.digitalhps.org/concepts/CONe2ce3221-e2f2-47fe-8922-c3a5956c1176
1964,Norman Willison Simmonds,John Innes Institute,http://www.digitalhps.org/concepts/CON8ef59853-865d-4457-829e-e5c12100cce3
1964,Robert Alan Finch,University of Oxford,http://www.digitalhps.org/concepts/CON7c2a3115-613d-46bf-9c04-c3d76a70ca15
1964,Quentin Oliver Newton Kay,University of Oxford,http://www.digitalhps.org/concepts/CON8b26af78-426c-4c01-bb1d-b6eba1ccbac4
1964,D. G. Rowlands,Agricultural Research Council,http://www.digitalhps.org/concepts/CONa69bbe4d-ea4f-4b65-bab5-638e1db5af5d
1964,Hugh Ingram,,
1964,J. Roseveare,,
1964,Mrs. Clymo,,
1965,Martin Borrill,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONa8e1df92-34a8-42c6-a56d-b0fb010184ce
1965,Hugh Rees,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON51a042d2-6f09-4435-96aa-5ae5309856e4
1965,Keith Jones,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON61bec15b-5bdc-4395-86ce-ec2d1cf72d49
1965,Kennedy G. McWhirter,University of Oxford,http://www.digitalhps.org/concepts/CONdf807b1d-b3cd-44da-8107-5c7f70684881
1965,David Henriques Valentine,University of Durham,http://www.digitalhps.org/concepts/CON7df10a2a-37e7-4990-b5d9-0d316628d77d
1965,Michael J. Lawrence,University of Birmingham,http://www.digitalhps.org/concepts/CONc9dc3751-51a4-4eaf-801d-5d4e78f79c59
1965,David A. Jones,University of Birmingham,http://www.digitalhps.org/concepts/CONe42d152b-2f53-4893-9b48-af36d6fd6905
1965,Anthony David Bradshaw,"University College of North Wales, Bangor",http://www.digitalhps.org/concepts/72ec32b4-2a20-4d26-ab8f-a173f067542d
1965,Janis Antonovics,"University College of North Wales, Bangor",http://www.digitalhps.org/concepts/CON0105095b-fdd4-4bbe-b3bc-ff668d7c298f
1965,D. G. Hewett,"University College of North Wales, Bangor",
1965,David William Snow,British Trust for Ornithology,http://www.digitalhps.org/concepts/CONed115094-39c3-4e21-b580-853ed8819f7c
1965,R. B. Clarke,,http://www.digitalhps.org/concepts/CON9b077f90-cc1a-4d15-b87e-cdf582b8cf8e
1966,John P. Cooper,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON67eefffe-2852-4212-934c-10035b19d2ae
1966,Colin F. Eagles,Welsh Plant Breeding Station,
1966,P. F. Parker,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON2aad8054-f866-433d-a4c8-0301f1e3fc48
1966,Edward Leslie Breese,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONada70e6d-5ed6-45e6-b2d6-1928fd1b798b
1966,Allen H. Charles,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONb3cfa5ea-1e67-4f82-8730-a26825601a6a
1966,Martin Borrill,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONa8e1df92-34a8-42c6-a56d-b0fb010184ce
1966,Neil Melbourne Tainton,"University of Wales, Aberystwyth",http://www.digitalhps.org/concepts/CON254e67ed-a4e6-426f-978c-5a77acad8a1f
1966,John R. G. Turner,University of Oxford,http://www.digitalhps.org/concepts/CONdf715751-f58e-4bb7-8cc4-4008b8ef5357
1966,Kennedy G. McWhirter,University of Oxford,http://www.digitalhps.org/concepts/CONdf807b1d-b3cd-44da-8107-5c7f70684881
1966,John G. Pusey,University of Oxford,http://www.digitalhps.org/concepts/CON55bb9c0c-c25b-420e-b652-90da7d4c0250
1966,Bryan C. Clarke,University of Edinburgh,http://www.digitalhps.org/concepts/CON9b077f90-cc1a-4d15-b87e-cdf582b8cf8e
1966,Michael J. Kearsey,University of Birmingham,http://www.digitalhps.org/concepts/CON43c96908-7c0e-45aa-a931-41179376a778
1966,Giora Simchen,University of Birmingham,http://www.digitalhps.org/concepts/CON0fecb74d-8753-498b-8851-fb935882de9b
1966,Quentin Oliver Newton Kay,"University of Wales, Swansea",http://www.digitalhps.org/concepts/CON8b26af78-426c-4c01-bb1d-b6eba1ccbac4
1966,Peter Kyle,"University College of North Wales, Bangor",
1966,J. M. Lovett,"University College of North Wales, Bangor",http://www.digitalhps.org/concepts/CONd5907187-ac08-4141-b733-4c8b782bf7bc
1966,Janis Antonovics,"University College of North Wales, Bangor",http://www.digitalhps.org/concepts/CON0105095b-fdd4-4bbe-b3bc-ff668d7c298f
1966,Anthony David Bradshaw,"University College of North Wales, Bangor",http://www.digitalhps.org/concepts/72ec32b4-2a20-4d26-ab8f-a173f067542d
1966,Phil D. Putwain,"University College of North Wales, Bangor",http://www.digitalhps.org/concepts/CONa9afce02-0c2d-4305-acbf-17493664d29d
1966,A. P. C. Seaton,"University College of North Wales, Bangor",http://www.digitalhps.org/concepts/CON737ec450-3533-4af8-8d13-f819d22c13d8
